dataset,image,perturbation_type,perturbation,mask_iou,skeleton_f1,junction_repeatability,valid_fraction
FIMD,27_r.jpg,affine,rotate_plus10_translate,0.7772728520827041,0.9123189413434672,0.7109858943898628,0.9226226806640625
FIMD,27_r.jpg,affine,scale_095,0.8103391908459338,0.9252626074967331,0.721183231913455,1.0
FIMD,27_r.jpg,affine,scale_105,0.8228399057864216,0.9549383288305477,0.757425935497633,0.908447265625
FIMD,35_r.jpg,photometric,brightness_minus30,0.9868592057761733,0.9986101304784304,0.9542436310667576,1.0
FIMD,35_r.jpg,photometric,brightness_plus30,0.9721059972105998,0.995678043241781,0.9045328774525331,1.0
FIMD,35_r.jpg,photometric,contrast_070,0.8368356174316584,0.937490726205274,0.7210502071551054,1.0
FIMD,35_r.jpg,photometric,contrast_130,0.961962172947756,0.9931061184886507,0.908117116500368,1.0
FIMD,35_r.jpg,photometric,gaussian_blur,0.5360040641555991,0.7062351252295613,0.5645736742973051,1.0
FIMD,35_r.jpg,affine,rotate_minus10_translate,0.8081865506667617,0.917058710196031,0.7461575796796636,0.9226226806640625
FIMD,35_r.jpg,affine,rotate_plus10_translate,0.8069265422712351,0.92081803278223,0.717248876294704,0.9226226806640625
FIMD,35_r.jpg,affine,scale_095,0.8189453374381092,0.9269757517505317,0.7223950901115164,1.0
FIMD,35_r.jpg,affine,scale_105,0.8065261334103379,0.9397950929157393,0.7331025309532098,0.908447265625
FIMD,38_r.jpg,photometric,brightness_minus30,0.9729940627650552,0.9959527682707379,0.9104757048153275,1.0
FIMD,38_r.jpg,photometric,brightness_plus30,0.9836156483161927,0.9983660567065313,0.9381936151580288,1.0
FIMD,38_r.jpg,photometric,contrast_070,0.8715983970758371,0.9629357914721025,0.7828800130686924,1.0
FIMD,38_r.jpg,photometric,contrast_130,0.9691797216765439,0.9950630020965058,0.9116899097621001,1.0
FIMD,38_r.jpg,photometric,gaussian_blur,0.5296029797680522,0.7081936591178045,0.5733834632713629,1.0
FIMD,38_r.jpg,affine,rotate_minus10_translate,0.8147916323505189,0.9288657905282377,0.746375755809718,0.9226226806640625
FIMD,38_r.jpg,affine,rotate_plus10_translate,0.8078962192252891,0.927659292817724,0.7357702391867329,0.9226226806640625
FIMD,38_r.jpg,affine,scale_095,0.8055010802725611,0.9268586131589237,0.6937422864646584,1.0
FIMD,38_r.jpg,affine,scale_105,0.8116726936338408,0.949161343700864,0.7357934809792425,0.908447265625
FIMD,41_t.jpg,photometric,brightness_minus30,0.9886860526676994,0.998687746581352,0.9540957061328019,1.0
FIMD,41_t.jpg,photometric,brightness_plus30,0.9834077482501121,0.998119917018366,0.9533131471211966,1.0
FIMD,41_t.jpg,photometric,contrast_070,0.8894392358039979,0.9716783678652294,0.7671522556390977,1.0
FIMD,41_t.jpg,photometric,contrast_130,0.9748674689471036,0.9967041594984721,0.9199568689164772,1.0
