dataset,image,variant,mask_iou_to_baseline,skeleton_f1_to_baseline,junction_repeatability_to_baseline,baseline_area_fraction,variant_area_fraction,baseline_junction_count,variant_junction_count
FIMD,38_r.jpg,threshold_015,0.44947464003113247,0.6457948547354737,0.5529364868456019,0.0998687744140625,0.2221900092230903,795,1775
FIMD,38_r.jpg,threshold_035,0.5448603683897801,0.7682217220277668,0.6183300231711354,0.0998687744140625,0.05441453721788195,795,456
FIMD,38_r.jpg,kernel_09,0.640524394291404,0.8779191840323415,0.6896805185785392,0.0998687744140625,0.0677371554904514,795,652
FIMD,38_r.jpg,kernel_21,0.7798945330752286,0.9115090392903806,0.748741428510584,0.0998687744140625,0.12616984049479166,795,886
FIMD,41_t.jpg,threshold_015,0.5126946204774149,0.7239680573371813,0.5885446873534876,0.0858645968967014,0.1674770779079861,665,1299
FIMD,41_t.jpg,threshold_035,0.578872544180077,0.8155149035663363,0.607085020242915,0.0858645968967014,0.049704657660590276,665,390
FIMD,41_t.jpg,kernel_09,0.5581308116004975,0.8515953702626302,0.6472119897058082,0.0858645968967014,0.04794481065538195,665,447
FIMD,41_t.jpg,kernel_21,0.8052565468335109,0.9413885106167029,0.7508822870183589,0.0858645968967014,0.10663011338975695,665,738
FIMD,42_r.jpg,threshold_015,0.46366445410849166,0.6729967960355572,0.5643452051658686,0.09616597493489583,0.2074042426215278,775,1691
FIMD,42_r.jpg,threshold_035,0.55397471835828,0.7696524866743107,0.5967624097805273,0.09616597493489583,0.053273518880208336,775,438
FIMD,42_r.jpg,kernel_09,0.6942116246450686,0.9116952850560253,0.7176938915579958,0.09616597493489583,0.07176038953993055,775,705
FIMD,42_r.jpg,kernel_21,0.8310591681487349,0.9473696018863246,0.7824540972788323,0.09616597493489583,0.1115536159939236,775,831
FIMD,43_r.jpg,threshold_015,0.49005090992294054,0.7098572670087184,0.5706981203766371,0.1016727023654514,0.2074737548828125,838,1608
FIMD,43_r.jpg,threshold_035,0.5592222648368324,0.7700825001896452,0.5880253736967718,0.1016727023654514,0.05685763888888889,838,475
FIMD,43_r.jpg,kernel_09,0.584503284756728,0.8559438166851513,0.6687264191812976,0.1016727023654514,0.059441460503472224,838,606
FIMD,43_r.jpg,kernel_21,0.7984156570363466,0.934208785523808,0.7583519497636264,0.1016727023654514,0.1273430718315972,838,938
